"Don't see your tags in the report? New tags are excluded by default - go to https://console.amazonaws.cn/billing/home#/preferences/tags to update your cost allocation keys."
"InvoiceID","PayerAccountId","LinkedAccountId","RecordType","RecordID","BillingPeriodStartDate","BillingPeriodEndDate","InvoiceDate","PayerAccountName","LinkedAccountName","TaxationAddress","PayerPONumber","ProductCode","ProductName","SellerOfRecord","UsageType","Operation","AvailabilityZone","RateId","ItemDescription","UsageStartDate","UsageEndDate","UsageQuantity","BlendedRate","CurrencyCode","CostBeforeTax","Credits","TaxAmount","TaxType","TotalCost","user:Application","user:Billing","user:Function","user:Name","user:Owner","user:Stack","user:billing","user:date","user:id","user:test","user:type","user:user:Billing"
"92007028","412764460734","412764460734","LinkedLineItem","400000000539204266-2","2017/01/01 00:00:00","2017/01/31 23:59:59","2017/02/04 02:46:28","","","甲10号院402楼5层501内(5-B 区), 朝阳区酒仙桥北路, 北京市, beijing, beijing, 100015, CN","","AmazonGlacier","Amazon Glacier","Amazon Web Services, Inc.","CNN1-TimedStorage-ByteHrs","","","17311223","CNY 0.0334 per GB / month of storage used - Amazon Glacier (Beijing)","2017/01/19 09:44:23","2017/01/31 23:59:59","0.00045762","0.0336241079","CNY","0.000015","0.000000","0.000000","None","0.000015","","","test","","guanghuanyouyun","","","","","","",""
"92007028","412764460734","412764460734","LinkedLineItem","400000000539204273-0","2017/01/01 00:00:00","2017/01/31 23:59:59","2017/02/04 02:46:28","","","甲10号院402楼5层501内(5-B 区), 朝阳区酒仙桥北路, 北京市, beijing, beijing, 100015, CN","","AmazonGlacier","Amazon Glacier","Amazon Web Services, Inc.","CNN1-TimedStorage-ByteHrs","","","17311223","CNY 0.0334 per GB / month of storage used - Amazon Glacier (Beijing)","2017/01/01 00:00:00","2017/01/19 09:40:37","0.00105605","0.0334478809","CNY","0.000035","0.000000","0.000000","None","0.000035","","","","","","","","","","","",""
"92007028","412764460734","412764460734","LinkedLineItem","400000000539204273-1","2017/01/01 00:00:00","2017/01/31 23:59:59","2017/02/04 02:46:28","","","甲10号院402楼5层501内(5-B 区), 朝阳区酒仙桥北路, 北京市, beijing, beijing, 100015, CN","","AmazonGlacier","Amazon Glacier","Amazon Web Services, Inc.","CNN1-TimedStorage-ByteHrs","","","17311223","CNY 0.0334 per GB / month of storage used - Amazon Glacier (Beijing)","2017/01/01 00:00:00","2017/01/19 09:40:37","0.00049282","0.0334478809","CNY","0.000016","0.000000","0.000000","None","0.000016","","","test","","guanghuanyouyun","","","july2015","1234","","",""
"92007028","412764460734","412764460734","LinkedLineItem","400000000539204273-2","2017/01/01 00:00:00","2017/01/31 23:59:59","2017/02/04 02:46:28","","","甲10号院402楼5层501内(5-B 区), 朝阳区酒仙桥北路, 北京市, beijing, beijing, 100015, CN","","AmazonGlacier","Amazon Glacier","Amazon Web Services, Inc.","CNN1-TimedStorage-ByteHrs","","","17311223","CNY 0.0334 per GB / month of storage used - Amazon Glacier (Beijing)","2017/01/01 00:00:00","2017/01/19 09:40:37","0.00063363","0.0334478809","CNY","0.000021","0.000000","0.000000","None","0.000021","","","test","","guanghuanyouyun","","","","","","",""
"92007028","412764460734","515743265704","LinkedLineItem","400000000562126207","2017/01/01 00:00:00","2017/01/31 23:59:59","2017/02/04 02:46:28","","","28th Floor  Shanghai Times Square Office Tower, No. 93 Huaihai Road middle, Shanghai, Shanghai, 200021, CN","","AmazonS3","Amazon Simple Storage Service","Amazon Web Services, Inc.","CNN1-Requests-Tier2","","","20242390","CNY 0.015 per 10,000 GET and all other requests","2017/01/19 10:00:55","2017/01/31 23:59:59","243.00000000","0.0000015021","CNY","0.000365","0.000000","0.000000","None","0.000365","","","","","","","","","","","",""
"92007028","412764460734","515743265704","LinkedLineItem","400000000562126210","2017/01/01 00:00:00","2017/01/31 23:59:59","2017/02/04 02:46:28","","","28th Floor  Shanghai Times Square Office Tower, No. 93 Huaihai Road middle, Shanghai, Shanghai, 200021, CN","","AWSConfig","AWS Config","Amazon Web Services, Inc.","CNN1-ConfigurationItemRecorded","","","14608755","0.02 CNY per Configuration Item recorded in China (Beijing) region","2017/01/19 10:00:55","2017/01/31 23:59:59","95.00000000","0.02","CNY","1.900000","0.000000","0.110000","VAT","2.010000","","","","","","","","","","","",""
"92007028","412764460734","412764460734","LinkedLineItem","400000000547046446","2017/01/01 00:00:00","2017/01/31 23:59:59","2017/02/04 02:46:28","","","甲10号院402楼5层501内(5-B 区), 朝阳区酒仙桥北路, 北京市, beijing, beijing, 100015, CN","","AmazonEC2","Amazon Elastic Compute Cloud","Amazon Web Services, Inc.","CNN1-EBS:SnapshotUsage","","","19260989","0.311 CNY per GB-Month of snapshot data stored","2017/01/19 09:44:23","2017/01/31 23:59:59","31.40351393","0.3110000053","CNY","9.766493","0.000000","0.587298","VAT","10.353791","","","","","","","","","","","",""
"92007028","412764460734","412764460734","LinkedLineItem","400000000539204299","2017/01/01 00:00:00","2017/01/31 23:59:59","2017/02/04 02:46:28","","","甲10号院402楼5层501内(5-B 区), 朝阳区酒仙桥北路, 北京市, beijing, beijing, 100015, CN","","AmazonEC2","Amazon Elastic Compute Cloud","Amazon Web Services, Inc.","CNN1-EBS:SnapshotUsage","","","19260989","0.311 CNY per GB-Month of snapshot data stored","2017/01/01 00:00:00","2017/01/19 09:40:37","36.50499372","0.3109999987","CNY","11.353053","0.000000","0.682702","VAT","12.035755","","","","","","","","","","","",""
"92007028","412764460734","425155429375","LinkedLineItem","400000000540275229","2017/01/01 00:00:00","2017/01/31 23:59:59","2017/02/04 02:46:28","","","中关村软件园, 软件广场C座302室, 海淀, 北京, 100190, CN","","AmazonSNS","Amazon Simple Notification Service","Amazon Web Services, Inc.","CNN1-Requests-Tier1","","","12296880","First 1,000,000 SNS API Requests per Month are free","2017/01/23 06:38:03","2017/01/31 23:59:59","177.00000000","0.0","CNY","0.000000","0.000000","0.000000","None","0.000000","","","","","","","","","","","",""
"92007028","412764460734","412764460734","LinkedLineItem","400000000547046445","2017/01/01 00:00:00","2017/01/31 23:59:59","2017/02/04 02:46:28","","","甲10号院402楼5层501内(5-B 区), 朝阳区酒仙桥北路, 北京市, beijing, beijing, 100015, CN","","AmazonSNS","Amazon Simple Notification Service","Amazon Web Services, Inc.","CNN1-DeliveryAttempts-SMTP","","","12296887","First 1,000 Amazon SNS Email/Email-JSON Notifications per month are Free","2017/01/19 09:44:23","2017/01/31 23:59:59","142.00000000","0.0","CNY","0.000000","0.000000","0.000000","None","0.000000","","","","","","","","","","","",""
"92007028","412764460734","425155429375","LinkedLineItem","400000000540275239-0","2017/01/01 00:00:00","2017/01/31 23:59:59","2017/02/04 02:46:28","","","中关村软件园, 软件广场C座302室, 海淀, 北京, 100190, CN","","AmazonEC2","Amazon Elastic Compute Cloud","Amazon Web Services, Inc.","CNN1-BoxUsage:t2.micro","RunInstances","cn-north-1a","19261200","0.106 CNY per On Demand Linux t2.micro Instance Hour","2017/01/23 06:38:03","2017/01/31 23:59:59","166.00000000","0.106","CNY","17.596000","0.000000","1.059238","VAT","18.655238","","","","","","","","","","test","test",""
"92007028","412764460734","425155429375","LinkedLineItem","400000000540275239-1","2017/01/01 00:00:00","2017/01/31 23:59:59","2017/02/04 02:46:28","","","中关村软件园, 软件广场C座302室, 海淀, 北京, 100190, CN","","AmazonEC2","Amazon Elastic Compute Cloud","Amazon Web Services, Inc.","CNN1-BoxUsage:t2.micro","RunInstances","cn-north-1a","19261200","0.106 CNY per On Demand Linux t2.micro Instance Hour","2017/01/23 06:38:03","2017/01/31 23:59:59","44.00000000","0.106","CNY","4.664000","0.000000","0.280762","VAT","4.944762","","","","","","","","","","","",""
